time,seconds_elapsed,z,y,x
1731517649795228200,0.048228271484375,-9.29610344710648,-2.959706714683771,0.9964869261883199
1731517649805276200,0.058276123046875,-9.258891614565252,-3.076348057770729,0.9896403482291847
1731517649815323100,0.0683232421875,-9.214982914733886,-3.2045147112175822,0.9927544616617262
1731517649825371400,0.078371337890625,-9.167978586974739,-3.336657574819028,0.9926083311893046
1731517649835418000,0.088418212890625,-9.12062529964745,-3.470315811419487,0.9703037795964627
1731517649845466000,0.098466064453125,-9.070963150855897,-3.610209435278177,0.9243355168867856
1731517649855513300,0.108513427734375,-9.015441170120239,-3.76050521068573,0.8664924727924168
1731517649865561600,0.1185615234375,-8.954431113362311,-3.914341142918169,0.8163813381243497
1731517649875608300,0.1286083984375,-8.894187364801764,-4.055901823206246,0.7832486646555363
1731517649885656300,0.13865625,-8.839271533265709,-4.176898146632314,0.7688858658473938
1731517649895703300,0.148703369140625,-8.789030707803368,-4.278608170308172,0.7853894760765134
1731517649905751600,0.15875146484375,-8.745807652148605,-4.361698249188065,0.8104455913998186
1731517649915798500,0.168798583984375,-8.710517727580665,-4.432787801411748,0.804769226263836
1731517649925845500,0.178845458984375,-8.677135097938775,-4.508958602422475,0.7395941587809473
1731517649935893200,0.188893310546875,-8.635041338574887,-4.608412079343199,0.6074407007202506
1731517649945940500,0.1989404296875,-8.575909350648521,-4.737610413925349,0.4233385903660208
1731517649955988500,0.208988525390625,-8.498409931382536,-4.888444826254248,0.22476351709375156
1731517649966035500,0.219035400390625,-8.412962183460593,-5.038928233188391,0.04070341468376573
1731517649976083500,0.22908349609375,-8.333244503623247,-5.1684395792424676,-0.1210271934883669
1731517649986130400,0.23913037109375,-8.267680436822772,-5.26789597877264,-0.2551770677969791
1731517649996178400,0.249178466796875,-8.21958597573936,-5.337410829025506,-0.34761169719789176
1731517650006225400,0.259225341796875,-8.191002855333686,-5.3772571017235515,-0.4036902523703873
1731517650016273400,0.2692734375,-8.180039562770723,-5.391299655601382,-0.4372931371668353
1731517650026320400,0.2793203125,-8.17954330368638,-5.389584668377042,-0.46672169542070474
1731517650036368400,0.289368408203125,-8.179912136998771,-5.384730214083194,-0.513906786574237
1731517650046415400,0.299415283203125,-8.170717023152113,-5.389871084102988,-0.5992124956769869
1731517650056463400,0.30946337890625,-8.14625302850306,-5.412830519407987,-0.7142854569360614
1731517650066510300,0.31951025390625,-8.110621743151546,-5.449665919852256,-0.8302662172224372
