time,seconds_elapsed,magneticBearing
1731517649795228200,0.048228271484375,324.7725697235603
1731517649805276200,0.058276123046875,318.92428206859904
1731517649815323100,0.0683232421875,313.1215031620743
1731517649825371400,0.078371337890625,309.3425465796742
1731517649835418000,0.088418212890625,303.4470108147639
1731517649845466000,0.098466064453125,297.9359121826789
1731517649855513300,0.108513427734375,289.5448213420867
1731517649865561600,0.1185615234375,278.92809631581645
1731517649875608300,0.1286083984375,268.34292048490795
1731517649885656300,0.13865625,259.74888745494576
1731517649895703300,0.148703369140625,254.2742453616472
1731517649905751600,0.15875146484375,248.83620506909165
1731517649915798500,0.168798583984375,246.18104349812444
1731517649925845500,0.178845458984375,242.7035143216663
1731517649935893200,0.188893310546875,236.41524663102172
1731517649945940500,0.1989404296875,227.0865344281499
1731517649955988500,0.208988525390625,214.36977408202026
1731517649966035500,0.219035400390625,204.94438097399905
1731517649976083500,0.22908349609375,196.9436274850666
1731517649986130400,0.23913037109375,188.93526124280345
1731517649996178400,0.249178466796875,183.87970584104937
1731517650006225400,0.259225341796875,182.01958680483227
1731517650016273400,0.2692734375,181.45370888098338
1731517650026320400,0.2793203125,181.83364682834795
1731517650036368400,0.289368408203125,182.41151477113172
1731517650046415400,0.299415283203125,179.85790123868225
1731517650056463400,0.30946337890625,176.46225618278118
1731517650066510300,0.31951025390625,171.48181255110333
1731517650076558300,0.329558349609375,168.41496043631392
1731517650086605300,0.339605224609375,166.42639464097306
1731517650096653600,0.349653564453125,165.42324798043086
1731517650106700500,0.359700439453125,165.63209876819613
1731517650116748300,0.369748291015625,164.6570163470737
1731517650126795300,0.379795166015625,163.96223789593114
1731517650136843500,0.389843505859375,163.26703693582752
1731517650146890500,0.399890380859375,161.07008121305068
1731517650156938200,0.409938232421875,157.47915553348088
1731517650166985500,0.4199853515625,153.8934430757571
1731517650177033500,0.430033447265625,151.01449266391396
1731517650187080400,0.44008056640625,150.09955568607523
1731517650197128200,0.450128173828125,149.4839640393157
1731517650207175400,0.460175537109375,150.01850712045743
1731517650217223400,0.470223388671875,150.9714600394269
1731517650227270400,0.4802705078125,152.01826028782
1731517650237318400,0.490318359375,153.37680323738175
1731517650247365400,0.500365478515625,153.98148711384175
1731517650257413400,0.510413330078125,154.69477226752696
1731517650267460400,0.52046044921875,154.26177843022603
1731517650277508600,0.530508544921875,154.48855918650526
1731517650287555600,0.5405556640625,155.48930522920313
1731517650297603300,0.550603271484375,155.33458715215465
1731517650307650300,0.560650390625,155.94788820712762
1731517650317698600,0.570698486328125,155.7496432878177
1731517650327745500,0.58074560546875,155.60829124889943
1731517650337793300,0.590793212890625,153.58977522398885
1731517650347840300,0.60084033203125,152.45837019720645
1731517650357888500,0.610888427734375,151.1631453415786
1731517650367935500,0.620935546875,149.22536388915813
1731517650377983200,0.630983154296875,149.3824491178525
1731517650388030200,0.6410302734375,150.21037386208405
1731517650398078500,0.651078369140625,149.48982203661035
1731517650408125400,0.66112548828125,148.5218991659743
1731517650418173400,0.67117333984375,147.96110872846725
1731517650428220400,0.681220458984375,145.91497681927353
1731517650438268400,0.691268310546875,144.1629027571205
1731517650448315400,0.7013154296875,141.88328674056896
1731517650458363400,0.71136328125,140.42220924582125
1731517650468410400,0.721410400390625,140.1082004833426
1731517650478458400,0.731458251953125,140.02122824798764
1731517650488505300,0.74150537109375,139.9418729606446
1731517650498553600,0.7515537109375,140.20985449024175
1731517650508600600,0.7616005859375,139.8410094116274
1731517650518647600,0.7716474609375,138.68325005614219
1731517650528695300,0.7816953125,137.44485824972355
1731517650538742300,0.7917421875,136.6404445857048
1731517650548790500,0.80179052734375,137.30089190034545
1731517650558837500,0.81183740234375,137.0845104711884
1731517650568885200,0.82188525390625,137.36730166360837
1731517650578932200,0.83193212890625,136.29469755853717
1731517650588980500,0.84198046875,134.0457368279835
1731517650599027500,0.85202734375,132.9674243189136
1731517650609075200,0.8620751953125,130.6850442128923
1731517650619122400,0.872122314453125,128.79892203646608
1731517650629170400,0.88217041015625,128.22294202331742
1731517650639217400,0.892217529296875,127.83192818012479
1731517650649265400,0.902265380859375,127.59679416345524
1731517650659312400,0.9123125,128.04978837874336
1731517650669360400,0.9223603515625,127.4240945980947
1731517650679407400,0.932407470703125,128.0887604115303
1731517650689455600,0.94245556640625,128.70223994925172
1731517650699502600,0.952502685546875,128.47456803695923
1731517650709550300,0.96255029296875,128.60047135223564
1731517650719597300,0.972597412109375,127.87304814337188
1731517650729645600,0.9826455078125,128.20190094575455
1731517650739692500,0.992692626953125,129.60433706926645
1731517650749740300,1.002740234375,131.21207169671536
1731517650759787300,1.012787353515625,132.1071755232837
1731517650769835500,1.02283544921875,132.39348743898987
1731517650779882500,1.032882568359375,132.16619244722813
1731517650789930200,1.04293017578125,132.21941341371365
1731517650799977200,1.052977294921875,132.48039831088752
1731517650810025500,1.063025390625,132.55105528174863
1731517650820072400,1.073072509765625,132.17215178187126
1731517650830120400,1.083120361328125,131.8519431656641
1731517650840167200,1.093167236328125,132.67753467060663
1731517650850215400,1.10321533203125,133.99739059757206
1731517650860262400,1.113262451171875,135.26396704794416
1731517650870310100,1.12331005859375,136.04989861709527
1731517650880357000,1.133357177734375,137.63664968080838
1731517650890404000,1.143404052734375,138.26458387929276
1731517650900452000,1.1534521484375,138.13596346362584
1731517650910499000,1.1634990234375,137.5755395206867
1731517650920547000,1.173547119140625,136.72166446250387
1731517650930594000,1.183593994140625,135.78780187534048
1731517650940642000,1.19364208984375,134.12889921469835
1731517650950689000,1.20368896484375,133.07369386483984
