time,seconds_elapsed,z,y,x
1731517649771365000,0.024365234375,0.3000330626964569,-0.03491617366671562,0.9317055940628052
1731517649781413400,0.034413330078125,0.30569466948509216,-0.008224906399846077,0.9822193384170532
1731517649791460400,0.04446044921875,0.3013119101524353,-0.021620873361825943,1.093794345855713
1731517649801508000,0.054508056640625,0.28999853134155273,0.009108543395996094,1.2407166957855225
1731517649811555000,0.06455517578125,0.28519925475120544,0.1474592238664627,1.3733469247817993
1731517649821603300,0.074603271484375,0.3177790343761444,0.09056957811117172,1.4010707139968872
1731517649831650300,0.084650390625,0.4412040412425995,-0.12415816634893417,1.4115235805511475
1731517649841698000,0.094697998046875,0.6333452463150024,-0.3004743456840515,1.477460503578186
1731517649851745000,0.1047451171875,0.8076872229576111,-0.3280348777770996,1.5945924520492554
1731517649861793300,0.114793212890625,0.9061354994773865,-0.16263844072818756,1.6286723613739014
1731517649871840500,0.124840576171875,0.8799962997436523,0.035469043999910355,1.4809705018997192
1731517649881888500,0.134888427734375,0.812333881855011,0.23676353693008423,1.2613228559494019
1731517649891935200,0.144935302734375,0.8151115775108337,0.6256460547447205,1.0542315244674683
1731517649901983500,0.1549833984375,0.8806660771369934,0.716012716293335,0.8370501399040222
1731517649912030500,0.165030517578125,0.9482539296150208,0.3545767366886139,0.7055107951164246
1731517649922077400,0.175077392578125,1.047994613647461,-0.31415578722953796,0.7912887930870056
1731517649932125400,0.18512548828125,1.1227819919586182,-1.043365240097046,1.0989502668380737
1731517649942172400,0.19517236328125,1.103205919265747,-1.6248043775558472,1.48096764087677
1731517649952220400,0.205220458984375,1.1051524877548218,-1.7156182527542114,1.757939338684082
1731517649962267400,0.215267333984375,1.1265474557876587,-1.4883395433425903,1.7603400945663452
1731517649972315400,0.2253154296875,1.1010314226150513,-1.2272567749023438,1.5169357061386108
1731517649982362600,0.235362548828125,0.9136141538619995,-1.0055854320526123,1.1744418144226074
1731517649992410400,0.245410400390625,0.7903242111206055,-0.5448552966117859,0.8279749155044556
1731517650002457300,0.255457275390625,0.7805759906768799,-0.12586471438407898,0.47608718276023865
1731517650012505300,0.26550537109375,0.7415838241577148,0.10279322415590286,0.17148946225643158
1731517650022552600,0.275552490234375,0.670964241027832,0.0793861672282219,-0.008577508851885796
1731517650032600300,0.285600341796875,0.6573368906974792,-0.18051092326641083,-0.020198745653033257
1731517650042647300,0.295647216796875,0.6849610209465027,-0.6753989458084106,0.13015906512737274
1731517650052695600,0.305695556640625,0.6615808606147766,-1.0181927680969238,0.36731114983558655
1731517650062742500,0.315742431640625,0.6302839517593384,-1.0069702863693237,0.5370439887046814
1731517650072790300,0.325790283203125,0.5539830327033997,-0.7687044143676758,0.5346530079841614
1731517650082837200,0.335837158203125,0.40571901202201843,-0.5223358869552612,0.432199627161026
1731517650092885500,0.345885498046875,0.2530234754085541,-0.1945284754037857,0.3178834319114685
1731517650102932500,0.355932373046875,0.1718902736902237,-0.023934094235301018,0.19454099237918854
1731517650112980500,0.36598046875,0.19887927174568176,-0.03859000280499458,0.16425712406635284
1731517650123027200,0.376027099609375,0.2946705222129822,-0.1789761483669281,0.24406060576438904
1731517650133075500,0.386075439453125,0.38699936866760254,-0.4586709141731262,0.3251842260360718
1731517650143122400,0.396122314453125,0.3731655776500702,-0.9849660992622375,0.268125981092453
1731517650153170400,0.40617041015625,0.29761677980422974,-1.3115229606628418,0.17758357524871826
1731517650163217400,0.416217529296875,0.1784304529428482,-1.2200777530670166,0.14467541873455048
1731517650173265400,0.426265380859375,-0.000014647385796706658,-0.8761041164398193,0.0980469360947609
1731517650183312400,0.4363125,-0.17219680547714233,-0.3899051547050476,0.009382050484418869
1731517650193360400,0.4463603515625,-0.3373918831348419,0.01906823366880417,-0.10863140225410461
1731517650203407400,0.456407470703125,-0.5377180576324463,0.30680280923843384,-0.23013919591903687
1731517650213455400,0.466455322265625,-0.7740848064422607,0.40116047859191895,-0.2865545451641083
1731517650223502300,0.47650244140625,-0.8990682363510132,0.3471193313598633,-0.23701068758964539
1731517650233550300,0.48655029296875,-0.8401519656181335,0.17591510713100433,-0.16731148958206177
1731517650243597600,0.49659765625,-0.6272132992744446,-0.009874202311038971,-0.15161509811878204
1731517650253645300,0.506645263671875,-0.3832264840602875,-0.0647776648402214,-0.16148103773593903
1731517650263692300,0.5166923828125,-0.2282094657421112,0.10229281336069107,-0.2535577118396759
1731517650273740300,0.526740234375,-0.10490085184574127,0.37906715273857117,-0.4612981081008911
1731517650283787500,0.53678759765625,-0.03314170613884926,0.5084187388420105,-0.6893594861030579
1731517650293835500,0.54683544921875,-0.008696818724274635,0.5098374485969543,-0.7512308955192566
1731517650303882200,0.55688232421875,-0.05199475958943367,0.3991146385669708,-0.6565336585044861
1731517650313930500,0.566930419921875,-0.1463625431060791,0.1313742697238922,-0.5568336844444275
1731517650323977500,0.5769775390625,-0.22501793503761292,-0.19188448786735535,-0.44128313660621643
1731517650334025500,0.587025390625,-0.2274685800075531,-0.3906348645687103,-0.27672135829925537
1731517650344072400,0.597072509765625,-0.21429552137851715,-0.497541606426239,-0.12510012090206146
1731517650354120400,0.607120361328125,-0.18295437097549438,-0.40712809562683105,0.0046757119707763195
1731517650364167400,0.61716748046875,-0.09862803667783737,-0.1807279735803604,0.08081628382205963
1731517650374215400,0.62721533203125,0.06621097773313522,-0.0038693067617714405,0.13842685520648956
1731517650384262400,0.637262451171875,0.15084756910800934,0.04345639795064926,0.20112405717372894
1731517650394310400,0.647310302734375,0.14181172847747803,-0.0377468466758728,0.2468353509902954
