time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1731517588874271700,-60.87272827148438,202.00334930419922,-1,-1,40.09551137405162,234.41334915161133,-1,40,45.09299087524414,-88.22867921932084,-1
1731517631212965000,-18.534034912109377,201.98264694213867,-1,-1,40.095423859630664,235.8251953125,-1,168.66666666666666,47.37096405029297,-88.22875043881753,-1
1731517649809222000,0.062221923828125,201.98333740234375,-1,-1,40.0952446224238,235.8251953125,-1,413.70660046691097,62.63162612915039,-88.2289154180322,-1
1731517649811541000,0.064541015625,201.98265075683594,-1,-1,40.09538601696794,234.39265060424805,-1,78.308778988,62.63162612915039,-88.22869444092976,-1
1731517651807251000,2.0602509765625,196.83935546875,-1,-1,40.095571470484224,229.2493553161621,-1,29.516202231750178,24,-88.22896722712389,-1
1731517652807732200,3.060732177734375,191.99322509765625,0.9300000071525574,61.56434721601681,40.095748915374365,224.40322494506836,191.6015625,10.478707189358323,16,-88.22907987990251,0.27000001072883606
1731517653801506000,4.054506103515625,200.633056640625,0.9300000071525574,54.68885340123936,40.095667988099244,233.0430564880371,191.6015625,9.301327002283626,6,-88.22917434395126,0
1731517655014879000,5.26787890625,200.092041015625,0.7099999785423279,-1,40.095669203475204,232.5020408630371,-1,5.436245173336884,3,-88.22916042999199,0
1731517656019498000,6.272498046875,198.77935791015625,0.7099999785423279,-1,40.09568227924415,231.18935775756836,-1,3.832151377857379,3,-88.22915498175493,0.1599999964237213
1731517657018219000,7.271218994140625,197.09222412109375,0.7099999785423279,40.83737661352066,40.09570474274465,229.50222396850586,1.40625,3.5355339059327373,3,-88.22915439502171,1.0299999713897705
1731517658000585000,8.2535849609375,196.45440673828125,0.7099999785423279,31.73736190305635,40.09573072664448,228.86440658569336,358.2421875,3.5355339059327373,3,-88.22915447884074,1.3799999952316284
1731517659000555000,9.253554931640625,196.189453125,0.7200000286102295,30.54763857228851,40.09575662672528,228.5994529724121,356.1328125,3.5355339059327373,3,-88.22915456265977,1.3799999952316284
1731517660000518400,10.253518310546875,195.39776611328125,0.7099999785423279,29.576201257205103,40.095781395249155,227.80776596069336,354.375,3.5355339059327373,3,-88.2291548979359,1.4500000476837158
1731517661000488700,11.25348876953125,195.3546142578125,0.7099999785423279,29.194342456182618,40.095804655030456,227.7646141052246,352.265625,3.5355339059327373,3,-88.22915598758331,1.5
1731517662000460500,12.25346044921875,195.2767333984375,0.7799999713897705,33.32380311138604,40.09582573551693,227.6867332458496,350.859375,3.5355339059327373,3,-88.22915749632588,1.440000057220459
