time,seconds_elapsed,z,y,x
1731517649766341000,0.019341064453125,-1.0638275146484375,-0.2608184814453125,0.1090240478515625
1731517649776389000,0.02938916015625,-1.0108795166015625,-0.2426605224609375,0.1029052734375
1731517649786436400,0.039436279296875,-0.9962921142578125,-0.2544708251953125,0.094757080078125
1731517649796484400,0.049484375,-1.0069580078125,-0.28240966796875,0.1082763671875
1731517649806531000,0.059531005859375,-0.987396240234375,-0.2829132080078125,0.1079559326171875
1731517649816579300,0.069579345703125,-0.9435882568359375,-0.2488555908203125,0.1485748291015625
1731517649826626300,0.079626220703125,-0.887481689453125,-0.211700439453125,0.2038726806640625
1731517649836674300,0.08967431640625,-0.8728485107421875,-0.2205963134765625,0.259490966796875
1731517649846721300,0.09972119140625,-0.911956787109375,-0.2394866943359375,0.32501220703125
1731517649856769300,0.109769287109375,-0.9756927490234375,-0.2567596435546875,0.3410186767578125
1731517649866816300,0.119816162109375,-0.9708404541015625,-0.2478179931640625,0.278076171875
1731517649876864500,0.129864501953125,-0.9237060546875,-0.247222900390625,0.1979827880859375
1731517649886911500,0.139911376953125,-0.911407470703125,-0.264068603515625,0.1767578125
1731517649896959200,0.149959228515625,-0.8895263671875,-0.333038330078125,0.2524566650390625
1731517649907006500,0.16000634765625,-0.8102569580078125,-0.391754150390625,0.31011962890625
1731517649917054500,0.170054443359375,-0.7218780517578125,-0.4398345947265625,0.3346405029296875
1731517649927101400,0.180101318359375,-0.728363037109375,-0.485198974609375,0.346466064453125
1731517649937149200,0.190149169921875,-0.8279571533203125,-0.50799560546875,0.3008575439453125
1731517649947196400,0.200196533203125,-0.8964385986328125,-0.4663238525390625,0.195892333984375
1731517649957244400,0.210244384765625,-0.916748046875,-0.4128265380859375,0.133056640625
1731517649967291400,0.22029150390625,-0.826416015625,-0.40020751953125,0.073486328125
1731517649977339400,0.23033935546875,-0.7301483154296875,-0.4363861083984375,-0.003387451171875
1731517649987386400,0.240386474609375,-0.663543701171875,-0.4705963134765625,-0.149169921875
1731517649997434400,0.250434326171875,-0.6374053955078125,-0.5664825439453125,-0.1469268798828125
1731517650007481300,0.2604814453125,-0.65887451171875,-0.6395416259765625,-0.1355133056640625
1731517650017529600,0.270529541015625,-0.6856689453125,-0.6347808837890625,-0.1602020263671875
1731517650027576300,0.280576416015625,-0.7095489501953125,-0.5895538330078125,-0.180633544921875
1731517650037624300,0.290624267578125,-0.74267578125,-0.5599822998046875,-0.149078369140625
1731517650047671300,0.30067138671875,-0.81292724609375,-0.538726806640625,-0.124053955078125
1731517650057719600,0.310719482421875,-0.8872528076171875,-0.5364532470703125,-0.1657562255859375
1731517650067766500,0.3207666015625,-0.8921051025390625,-0.5532379150390625,-0.1864013671875
1731517650077814300,0.330814208984375,-0.85772705078125,-0.564971923828125,-0.26220703125
1731517650087861200,0.340861328125,-0.8646392822265625,-0.615325927734375,-0.329345703125
